"","Property","Price","Type","Bedrooms","Bathrooms","Station","URl","pp_pw"
"1","1",2,"3",4,"5","6","7",0.125
"2","Kingsdown Close, Bermondsey SE16",450,NA,4,"1","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/58276418/",28.125
"3","Senrab Street, London E1",750,NA,6,"6","Limehouse","https://www.zoopla.co.uk/to-rent/details/53316661/",31.25
"4","Sandalwood Close Solebay Street, Mile End, Stepney Green, London E1",695,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/49823958/",34.75
"5","Sandalwood Close Solebay Street, Mile End, Stepney Green, London E1",750,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/49823727/",37.5
"6","Sandalwood Close Solebay Street, Mile End, Stepney Green, London E1",750,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/49823913/",37.5
"7","Gale Street, Mile End E3",563,NA,3,"1","Devons Road","https://www.zoopla.co.uk/to-rent/details/59025402/",46.9166666666667
"8","Pratt Street, London NW1",700,NA,3,"1","Camden Town","https://www.zoopla.co.uk/to-rent/details/57039374/",58.3333333333333
"9","Oakley Square, London NW1",715,NA,3,"2","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/56606749/",59.5833333333333
"10","New Place Square, London SE16",797,NA,3,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58941125/",66.4166666666667
"11","Massingham Street, London E1",800,NA,3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/55792202/",66.6666666666667
"12","Granville Square, London WC1X",1200,NA,4,"1","London Kings Cross","https://www.zoopla.co.uk/to-rent/details/57641339/",75
"13","Hamlets Way, London E3",1733,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/57727054/",108.3125
"14","Wager Street, Off Burdett Road, Mile End, London E3",2250,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58614622/",112.5
"15","Clark Street, London E1",1408,"flat",3,"NA","Whitechapel","https://www.zoopla.co.uk/to-rent/details/58886685/",117.333333333333
"16","Ackroyd Drive, London E3",2383,NA,5,"NA","Mile End","https://www.zoopla.co.uk/to-rent/details/52118227/",119.15
"17","Shandy Street, Stepney Green/Mile End E1",1950,"flat",4,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/55541945/",121.875
"18","Neptune Street, London SE16",1950,"flat",4,"1","Canada Water","https://www.zoopla.co.uk/to-rent/details/59007674/",121.875
"19","Micawber House, London SE16",1950,"flat",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58318014/",121.875
"20","Tawney Way, London SE16",1975,"flat",4,"2","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/58938921/",123.4375
"21","Arbery Road, Bow E3",1998,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58995307/",124.875
"22","Millender Walk, London SE16",1500,"flat",3,"1","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/52749199/",125
"23","Shadwell, Brodlove Lane, London E1W",2000,"house",4,"1","Shadwell","https://www.zoopla.co.uk/to-rent/details/58823234/",125
"24","Malting House, Bow E3",2002,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58789741/",125.125
"25","Orb Street, London SE17",1517,"flat",3,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/57508083/",126.416666666667
"26","Canada Water Plough Wy, London SE16",1525,"flat",3,"1","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/57335266/",127.083333333333
"27","Alphabet Square, Bow, London E3",3142,"house",6,"2","Langdon Park","https://www.zoopla.co.uk/to-rent/details/58861651/",130.916666666667
"28","Alphabet Square, London E3",3142,"house",6,"2","Devons Road","https://www.zoopla.co.uk/to-rent/details/58782752/",130.916666666667
"29","Amina Way, London SE16",2100,"house",4,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/51323893/",131.25
